city,state,restaurant_count_x,avg_rating,total_reviews,avg_review_per_restaurant,norm_demand,norm_competition,norm_rating,opportunity_score,sentiment,stars,restaurant_count_y,opportunity_with_sentiment,norm_sentiment,opportunity_with_sentiment_v2,confidence,weighted_sentiment,opportunity_with_sentiment_v3,opportunity_with_sentiment_v4
St Petersburg,FL,81,3.5864197530864184,14227,175.64197530864203,0.0264149568723007,0.008926000575871,0.6712377378985602,-0.1237178693163229,0.518226864271261,3.5922370119500346,121,0.49395841658299716,0.6836755422789611,0.5105032843837671,0.16948346111619003,0.11587169718592644,0.4537228998744637,0.4776402551134341
Pinellas Park,FL,123,3.471544715447155,9285,75.48780487804876,0.0164132163832637,0.0210192916786639,0.5565539740928913,-0.1094099741305455,0.4776371689407177,3.514302063655483,167,0.4593340107623563,0.5126294138211398,0.46283323525039854,0.1369183360802101,0.07018836636616392,0.41858913050490093,0.4380224253785047
Brandon,FL,227,3.453744493392071,24669,108.67400881057272,0.0475477318999259,0.0509645839331989,0.5387833904760728,-0.0992721873252112,0.48029663857842825,3.464797742723304,326,0.45951605953306807,0.5238364943763665,0.4638700451128619,0.22317545615957465,0.11690744858547805,0.4231771405337731,0.44005560698903984
Tarpon Springs,FL,93,3.74731182795699,9570,102.9032258064516,0.0169900063548088,0.0123812266052404,0.8318619178061538,-0.1615917483653985,0.5589137274006478,3.7353020661034764,151,0.525345390861647,0.8551311385996871,0.5549671319815509,0.13900378547903222,0.11886646534635148,0.48134066465621733,0.513060075369307
Spring Hill,FL,107,3.420560747663552,3978,37.17757009345794,0.0056727799657568,0.0164123236395047,0.5056548976762048,-0.1032182866442139,0.49241318327396105,3.470924407635424,153,0.4477177127570883,0.5748959577100938,0.4559659902007016,0.0896196096651904,0.05152195132807442,0.4036285895624997,0.4275048313134848
Valrico,FL,60,3.441666666666666,3027,50.45000000000001,0.0037481229028119,0.0028793550244745,0.526725674057195,-0.1043348798673754,0.4553239664428585,3.4420586522467205,77,0.4515129741095072,0.4186009450269361,0.447840671967915,0.07817661631340052,0.03272480546779765,0.4092530580120011,0.4270980308617087
Wesley Chapel,FL,122,3.3811475409836067,11610,95.16393442622947,0.0211186082563942,0.0207313561762165,0.4663073163513487,-0.0889215659949375,0.45218046550877455,3.3233343687646593,158,0.44070754627083997,0.4053541428472214,0.4360249140046846,0.15310408152905403,0.06206137373462079,0.4016956370934246,0.4168131372751433
Largo,FL,206,3.509708737864078,12914,62.68932038834952,0.0237576753542704,0.0449179383818024,0.5946544511215117,-0.1205274340617078,0.4925097025957509,3.5200089786686903,310,0.4642095491110449,0.575302692872284,0.4724888481386982,0.16147342221499777,0.0928960946275915,0.42424818831422895,0.4449115972627975
Tampa,FL,1965,3.6269720101781098,236140,120.17302798982182,0.4755279146107983,0.5513964871868701,0.7117224730478501,-0.0699994834602319,0.5135711890572884,3.595586895015505,2961,0.5184938332035571,0.664056394753411,0.5335423537731694,0.6904868913821911,0.45852223571574796,0.5129889378694031,0.5241159297660388
Hudson,FL,65,3.3923076923076936,2726,41.93846153846156,0.0031389517398818,0.0043190325367117,0.4774488853535394,-0.0952160109617804,0.4692810220314499,3.394842998752851,95,0.44237775020879205,0.4774163735158201,0.44319128535722907,0.07418798652001664,0.03541855948282689,0.3989915039539298,0.41947741426843216
